msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;messageType;messageState;recordSize;produceTime;applicationProducer;sessionTradingDay;deltaBasedOnSessionTradingDay;batchID
34;24;12044;0;331;MTXCREFD;0;;3446;1707914786159805952;;K2CDWMTXCREFD;-;;;;;;;;;;;;;23;2;198;1707914786159805952;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;3447;1707914795004537344;;K2CDWMTXCREFD;-;;;;;;;;;;;;;24;1;0;1707914795004537344;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;3646;1707914795656674816;;K2CDWMTXCREFD;-;;;;;;;;;;;;;24;2;198;1707914795656674816;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;3647;1707914804002522368;;K2CDWMTXCREFD;-;;;;;;;;;;;;;25;1;0;1707914804002522368;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;3846;1707914804158772992;;K2CDWMTXCREFD;-;;;;;;;;;;;;;25;2;198;1707914804158772992;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;3847;1707914813000736000;;K2CDWMTXCREFD;-;;;;;;;;;;;;;26;1;0;1707914813000736000;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4046;1707914813161792512;;K2CDWMTXCREFD;-;;;;;;;;;;;;;26;2;198;1707914813161792512;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4047;1707914822001480704;;K2CDWMTXCREFD;-;;;;;;;;;;;;;27;1;0;1707914822001480704;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4246;1707914822159564288;;K2CDWMTXCREFD;-;;;;;;;;;;;;;27;2;198;1707914822159564288;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4247;1707914831001389056;;K2CDWMTXCREFD;-;;;;;;;;;;;;;28;1;0;1707914831001389056;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4446;1707914831302257920;;K2CDWMTXCREFD;-;;;;;;;;;;;;;28;2;198;1707914831302257920;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4447;1707914840002628864;;K2CDWMTXCREFD;-;;;;;;;;;;;;;30;1;0;1707914840002628864;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4646;1707914840158148864;;K2CDWMTXCREFD;-;;;;;;;;;;;;;30;2;198;1707914840158148864;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4647;1707914849001489920;;K2CDWMTXCREFD;-;;;;;;;;;;;;;31;1;0;1707914849001489920;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4846;1707914849302996992;;K2CDWMTXCREFD;-;;;;;;;;;;;;;31;2;198;1707914849302996992;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;4847;1707914858005105152;;K2CDWMTXCREFD;-;;;;;;;;;;;;;29;1;0;1707914858005105152;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;5046;1707914858351171584;;K2CDWMTXCREFD;-;;;;;;;;;;;;;29;2;198;1707914858351171584;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;5047;1707914867004624128;;K2CDWMTXCREFD;-;;;;;;;;;;;;;32;1;0;1707914867004624128;2;19767;19768;1
34;24;12044;0;331;MTXCREFD;0;;5246;1707914867160304384;;K2CDWMTXCREFD;-;;;;;;;;;;;;;32;2;198;1707914867160304384;2;19767;19768;1
